MamaDo.mid

@393, Channel 1, Program change: Fingered Bs.
@20966, Channel 3, Note off: F#4
@20974, Channel 1, Note on:  D#2
@21109, Channel 1, Note off: D#2
@21114, Channel 9, Note on:  D#2
@21119, Channel 2, Note on:  B2
@21120, Channel 0, Note on:  D#5
@21120, Channel 0, Note on:  F#4
@21120, Channel 0, Note on:  A#4
@21120, Channel 9, Note on:  E2
@21126, Channel 3, Note on:  F#4
@21135, Channel 1, Note on:  F#1
@21153, Channel 2, Note off: A#2
@21153, Channel 3, Note off: F4
@21176, Channel 9, Note off: E2
@21198, Channel 9, Note off: D#2
@21285, Channel 0, Note off: A#4
@21305, Channel 0, Note off: D#5
@21310, Channel 0, Note off: F#4
@21329, Channel 2, Note off: B2
@21337, Channel 2, Note on:  A#2
@21373, Channel 3, Note off: F#4
@21488, Channel 2, Note off: A#2
@21504, Channel 0, Note on:  D#5
@21504, Channel 0, Note on:  B4
@21504, Channel 0, Note on:  G#4
@21505, Channel 3, Note on:  G#4
@21509, Channel 1, Note on:  G#1
@21510, Channel 9, Note on:  C2
@21524, Channel 1, Note off: F#1
@21617, Channel 9, Note off: C2
@21691, Channel 0, Note off: D#5
@21692, Channel 0, Note off: G#4
@21699, Channel 0, Note off: B4
@21769, Channel 3, Note on:  F#4
@21771, Channel 3, Note off: G#4
@21838, Channel 3, Note off: F#4
@21871, Channel 3, Note on:  G#4
@21884, Channel 9, Note on:  D#2
@21888, Channel 0, Note on:  D#5
@21888, Channel 0, Note on:  B4
@21888, Channel 0, Note on:  G#4
@21889, Channel 9, Note on:  E2
